artifact,kind,status,version,sha256,location,note
carbon_500m,dna_features,accepted,2026-08-23T14.54.08.128Z,bb86fd296a3ba2ed2fdafcb7e21b89c918a11b2a4c2ec9ba8727af0c0713be9a,s3://plasmidclip/kedro/04_feature/e02b/dna_features.parquet,
generanno_prokaryote_500m,dna_features,accepted,2026-08-24T11.03.45.874Z,8bd9b216632bbc2d225001ff225910e65a76228f72f8adbcf1d8129bed1d5c37,s3://plasmidclip/kedro/04_feature/e02b/dna_features.parquet,
generator_v2_prokaryote_1_2b,dna_features,accepted,2026-08-23T15.30.18.164Z,72642a470e4f150316170dae620795f7b246b46b6cbcad0b59571930296bf7a1,s3://plasmidclip/kedro/04_feature/e02b/dna_features.parquet,
tfidf_6mer_svd_512,dna_features,accepted,2026-08-23T14.21.58.754Z,d783f66cb234bd228d9de304884b23849d75d9b5eef2a7510d61b0cc83486a41,s3://plasmidclip/kedro/04_feature/e02b/dna_features.parquet,
bge_base_en_v1_5,text_features,accepted,2026-08-23T15.16.22.538Z,5a69bb6647ac977778c0a3d6253bbbe94a8b9db2a2790ea3eac6590e6899f14a,s3://plasmidclip/kedro/04_feature/e02b/text_features.parquet,
gte_modernbert_base,text_features,accepted,2026-08-23T15.19.38.226Z,90139f7e41c1cf30b929c7ceebcca3496466a6b21620897734c62826166a7443,s3://plasmidclip/kedro/04_feature/e02b/text_features.parquet,
qwen3_embedding_0_6b,text_features,accepted,2026-08-23T15.23.41.974Z,c5cbf04e7d034ea4dbe0ad874adc728e6d8ae8c75ee7cbac278cbb7c44218d8d,s3://plasmidclip/kedro/04_feature/e02b/text_features.parquet,
retrieval_dataset,model_input,accepted,2026-08-04T09.02.10.007Z,7e54ca3f9a3fe9f5e4afbffbdc458437665caf781e729ec33655f96381e446a5,s3://plasmidclip/kedro/04_feature/retrieval_dataset.parquet,"115,120-row population identity"
constraint_state,model_input,accepted,2026-08-06T13.27.47.937Z,571b45e807e21f74699a5400faf7b20678df7d9595de3ef591a981e2a34d3208,s3://plasmidclip/kedro/05_model_input/e00/,constraint vocabulary e60a91d7cf2e415d
similarity_graph,model_input,accepted,2026-08-17T22.59.04.326Z,6d2691a54153150d68100c20fe6cf9a9e5bb7dc8ebd028ef39c96d261253598e,s3://plasmidclip/kedro/08_reporting/e00/,edge table; accepted complete-under-configured-caps graph
split_grouped_v2,model_input,accepted,2026-08-17T23.49.47.355Z,403c5bf6fec3afcc47d71ea302796c737609eefc47b49ea85ebd3c1ffaba5628,s3://plasmidclip/kedro/04_feature/e00/split_grouped_v2.parquet,strict primary-similarity-closed mapping
e02b_inputs,model_input,accepted,2026-08-23T14.16.15.778Z,57911ecee4654f17cc456a537f4295de155a3cf3269a3dfc289c95ee630f4a46,s3://plasmidclip/kedro/05_model_input/e02b/,"20,000 training rows; 10,852 validation rows; 108 queries"
query_benchmark,model_input,accepted,2026-08-17T23.51.35.629Z,72e2ed5576c10647c17ede29b4c45e6fd9cf7c19c2bb195279e6a329a54a2fd1,s3://plasmidclip/kedro/05_model_input/e00/,frozen controlled queries and verified/contradicted states
e02b_selection_report,report,accepted,2026-08-24T16.34.48.358Z,a675a3a3fac1b87827749764caeea07a395debf86c0ee886998417fd9a5b8d25,s3://plasmidclip/kedro/08_reporting/e02b/selection_report.json/2026-08-24T16.34.48.358Z/selection_report.json,validation-only encoder selection; no test rows read
e03e04_set_supervision_report,report,accepted,2026-08-25T10.52.39.447Z,32914b0f7dec4a0c9c893dbb0eecd80a16dce049d46e642405f22f61cbbee9b2,s3://plasmidclip/kedro/08_reporting/e03e04/report.json/2026-08-25T10.52.39.447Z/report.json,validation-only; pair queries were present during training
e05_unseen_composition_report,report,accepted,2026-08-26T11.49.24.525Z,182fb0dd75a1bd3159bc24b488e4921ff7dac1c6292352a408c8ff6d2d44082d,s3://plasmidclip/kedro/08_reporting/e05/composition_report.json/2026-08-26T11.49.24.525Z/composition_report.json,atomic-only training; 80 unseen conjunction queries
e06_inputs,model_input,accepted,2026-08-26T12.24.14.212Z,880cea9088d64720032fdd3b6ef70aa8d99e006908168f539fd432924e8c9362,s3://plasmidclip/kedro/05_model_input/e06/,"88,474 train; 10,852 validation; no test rows"
e06_tfidf_6mer_svd_512,dna_features,accepted,2026-08-26T12.43.28.764Z,4376e4e0cec03dcfa6665239436f396818648aab5ef2d7c9bfd518ad537e6fe0,s3://plasmidclip/kedro/04_feature/e06/dna_features.parquet,TF-IDF/SVD refit on the full eligible training population
e06_qwen3_embedding_0_6b,text_features,accepted,2026-08-26T12.43.28.764Z,9c131e45a457163f141e840056faf383a2ee0a7a84fc9a967e361d41aa5c2fce,s3://plasmidclip/kedro/04_feature/e06/text_features.parquet,expanded documents plus the unchanged query set
e06_population_scale_report,report,accepted,2026-08-26T13.06.51.803Z,800e23597f209197835b9648c4663cc3d35e686d0ac59e04c50bf1838e015230,s3://plasmidclip/kedro/08_reporting/e06/composition_report.json/2026-08-26T13.06.51.803Z/composition_report.json,"88,474-row atomic-only training; 80 unseen conjunction queries"
e07_additive_retrieval_report,report,accepted,2026-08-27T15.33.47.015Z,a9a1ca17eab82fca3c4774326013034552dbf34583239fddcb19c5017515e275,s3://plasmidclip/kedro/08_reporting/e07/additive_report.json/2026-08-27T15.33.47.015Z/additive_report.json,direct conjunction text versus summed projected atomic queries
