experiment,training_rows,query_representation,objective,unseen_pair_utility_at_10,difference_vs_paired,difference_interval_lower,difference_interval_upper,decision,wandb_runs
E05,20000,direct_text,paired_identity,-0.12250000000000001,0.0,,,baseline,https://wandb.ai/mcclain/vec2vec/runs/8ekn65i7 https://wandb.ai/mcclain/vec2vec/runs/5pwsx6rv https://wandb.ai/mcclain/vec2vec/runs/h6clzct3
E05,20000,direct_text,verified_set,0.17416666666666666,0.2966666666666667,0.22498958333333333,0.3429166666666667,accepted,https://wandb.ai/mcclain/vec2vec/runs/s6cyojzj https://wandb.ai/mcclain/vec2vec/runs/i6jwppli https://wandb.ai/mcclain/vec2vec/runs/t92ya6us
E06,88474,direct_text,paired_identity,-0.10166666666666667,0.0,,,baseline,https://wandb.ai/mcclain/vec2vec/runs/z3iklyeb https://wandb.ai/mcclain/vec2vec/runs/z12cfncc https://wandb.ai/mcclain/vec2vec/runs/2nw6hs66
E06,88474,direct_text,verified_set,0.17333333333333334,0.275,0.18707291666666667,0.3387812499999999,accepted,https://wandb.ai/mcclain/vec2vec/runs/mekvk889 https://wandb.ai/mcclain/vec2vec/runs/jip3org4 https://wandb.ai/mcclain/vec2vec/runs/032oihq4
E07,88474,direct_text,verified_set,0.17333333333333334,0.0,,,baseline,https://wandb.ai/mcclain/vec2vec/runs/j9vyfig4 https://wandb.ai/mcclain/vec2vec/runs/5ldg9uf9 https://wandb.ai/mcclain/vec2vec/runs/dogbw039
E07,88474,atomic_sum,verified_set,0.19333333333333333,0.01999999999999999,-0.01791666666666672,0.060427083333333305,positive_not_distinguishable_from_direct,https://wandb.ai/mcclain/vec2vec/runs/j9vyfig4 https://wandb.ai/mcclain/vec2vec/runs/5ldg9uf9 https://wandb.ai/mcclain/vec2vec/runs/dogbw039
E12,88474,calibrated_log_probability_sum,strict_adherence_and_component_coverage,0.8218749999999999,,,,accepted_measurement_contract,https://wandb.ai/mcclain/vec2vec/runs/haxngr19
E13,88474,held_atom_text_conditioned_head,nested_training_head_reconstruction,-0.7421875,,,,accepted_negative_result,https://wandb.ai/mcclain/vec2vec/runs/zrgdllpy
E14,88474,atomic_lr_0.0001,description_alignment_plus_held_atom_tuning,-0.609375,,,,tuning_candidate,https://wandb.ai/mcclain/vec2vec/runs/zasefr8p
E14,88474,atomic_lr_1e-05,description_alignment_plus_held_atom_tuning,-0.65,,,,tuning_candidate,https://wandb.ai/mcclain/vec2vec/runs/zasefr8p
E14,88474,atomic_lr_3e-05,description_alignment_plus_held_atom_tuning,-0.6171875,0.125,0.010937500000000013,0.2312890624999998,tuning_selected,https://wandb.ai/mcclain/vec2vec/runs/zasefr8p
E14,88474,description_only,description_alignment_plus_held_atom_tuning,-0.7562499999999999,,,,tuning_candidate,https://wandb.ai/mcclain/vec2vec/runs/zasefr8p
