rank,dna_encoder,text_encoder,utility_at_10,interval_lower,interval_upper,dna_version,text_version,selected
1,tfidf_6mer_svd_512,qwen3_embedding_0_6b,0.15308641975308643,0.07622685185185185,0.18827932098765432,2026-08-23T14.21.58.754Z,2026-08-23T15.23.41.974Z,True
2,generanno_prokaryote_500m,qwen3_embedding_0_6b,0.1410493827160494,0.05770061728395064,0.15771604938271605,2026-08-24T11.03.45.874Z,2026-08-23T15.23.41.974Z,False
3,carbon_500m,qwen3_embedding_0_6b,0.0712962962962963,0.02592592592592592,0.1246913580246914,2026-08-23T14.54.08.128Z,2026-08-23T15.23.41.974Z,False
4,tfidf_6mer_svd_512,gte_modernbert_base,0.04753086419753086,-0.01667438271604939,0.060185185185185154,2026-08-23T14.21.58.754Z,2026-08-23T15.19.38.226Z,False
5,generator_v2_prokaryote_1_2b,qwen3_embedding_0_6b,0.04382716049382716,-0.0015432098765432113,0.07777777777777783,2026-08-23T15.30.18.164Z,2026-08-23T15.23.41.974Z,False
6,generanno_prokaryote_500m,bge_base_en_v1_5,0.031172839506172837,-0.025308641975308636,0.05555555555555553,2026-08-24T11.03.45.874Z,2026-08-23T15.16.22.538Z,False
7,tfidf_6mer_svd_512,bge_base_en_v1_5,0.017283950617283952,-0.03703703703703702,0.05493827160493825,2026-08-23T14.21.58.754Z,2026-08-23T15.16.22.538Z,False
8,generanno_prokaryote_500m,gte_modernbert_base,-0.0015432098765432087,-0.058958333333333356,0.03735339506172836,2026-08-24T11.03.45.874Z,2026-08-23T15.19.38.226Z,False
9,carbon_500m,gte_modernbert_base,-0.026543209876543208,-0.06883487654320988,0.007723765432098727,2026-08-23T14.54.08.128Z,2026-08-23T15.19.38.226Z,False
10,carbon_500m,bge_base_en_v1_5,-0.04104938271604938,-0.08858024691358024,0.008641975308641981,2026-08-23T14.54.08.128Z,2026-08-23T15.16.22.538Z,False
11,generator_v2_prokaryote_1_2b,gte_modernbert_base,-0.045370370370370366,-0.08086419753086417,-0.02438271604938272,2026-08-23T15.30.18.164Z,2026-08-23T15.19.38.226Z,False
12,generator_v2_prokaryote_1_2b,bge_base_en_v1_5,-0.05030864197530865,-0.09476080246913583,-0.015733024691358063,2026-08-23T15.30.18.164Z,2026-08-23T15.16.22.538Z,False
